xflr5 v6.61

Plane name :        4
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.800     0.000  -0.778232   0.083489   0.011076   0.094565  -0.000000   0.000000   0.188979   0.000000  -0.000000   50.0000     0.2056
  -16.700     0.000  -0.774141   0.082597   0.011023   0.093620  -0.000000   0.000000   0.188038   0.000000  -0.000000   50.0000     0.2055
  -16.600     0.000  -0.770042   0.081709   0.010969   0.092678  -0.000000   0.000000   0.187095  -0.000000  -0.000000   50.0000     0.2055
  -16.500     0.000  -0.765937   0.080824   0.010915   0.091738  -0.000000   0.000000   0.186149  -0.000000  -0.000000   50.0000     0.2054
  -16.400     0.000  -0.761824   0.079943   0.010859   0.090802  -0.000000   0.000000   0.185200  -0.000000  -0.000000   50.0000     0.2053
  -16.300     0.000  -0.757705   0.079065   0.010804   0.089869  -0.000000   0.000000   0.184250  -0.000000  -0.000000   50.0000     0.2052
  -16.200     0.000  -0.753579   0.078191   0.010751   0.088942  -0.000000   0.000000   0.183297  -0.000000  -0.000000   50.0000     0.2052
  -16.100     0.000  -0.749445   0.077321   0.010697   0.088018  -0.000000   0.000000   0.182341  -0.000000  -0.000000   50.0000     0.2051
  -16.000     0.000  -0.745305   0.076454   0.010644   0.087099  -0.000000   0.000000   0.181384  -0.000000  -0.000000   50.0000     0.2050
  -15.900     0.000  -0.741158   0.075591   0.010594   0.086185  -0.000000   0.000000   0.180424  -0.000000  -0.000000   50.0000     0.2050
  -15.800     0.000  -0.737004   0.074732   0.010544   0.085276  -0.000000   0.000000   0.179463  -0.000000  -0.000000   50.0000     0.2049
  -15.700     0.000  -0.732844   0.073877   0.010498   0.084374  -0.000000   0.000000   0.178499  -0.000000  -0.000000   50.0000     0.2048
  -15.600     0.000  -0.728676   0.073025   0.010452   0.083478  -0.000000   0.000000   0.177533  -0.000000  -0.000000   50.0000     0.2048
  -15.500     0.000  -0.724502   0.072178   0.010407   0.082584  -0.000000   0.000000   0.176565  -0.000000  -0.000000   50.0000     0.2047
  -15.400     0.000  -0.720322   0.071334   0.010361   0.081695  -0.000000   0.000000   0.175594  -0.000000  -0.000000   50.0000     0.2046
  -15.300     0.000  -0.716134   0.070494   0.010316   0.080810  -0.000000   0.000000   0.174622  -0.000000  -0.000000   50.0000     0.2046
  -15.200     0.000  -0.711940   0.069658   0.010272   0.079930  -0.000000   0.000000   0.173647  -0.000000  -0.000000   50.0000     0.2045
  -15.000     0.000  -0.703533   0.067998   0.010184   0.078182  -0.000000   0.000000   0.171691  -0.000000  -0.000000   50.0000     0.2044
  -14.800     0.000  -0.695099   0.066353   0.010098   0.076451  -0.000000   0.000000   0.169726  -0.000000  -0.000000   50.0000     0.2043
  -14.600     0.000  -0.686640   0.064725   0.010013   0.074738  -0.000000   0.000000   0.167752  -0.000000  -0.000000   50.0000     0.2041
  -14.500     0.000  -0.682400   0.063917   0.009971   0.073888  -0.000000   0.000000   0.166763  -0.000000  -0.000000   50.0000     0.2041
  -14.400     0.000  -0.678155   0.063113   0.009930   0.073043  -0.000000   0.000000   0.165770  -0.000000  -0.000000   50.0000     0.2040
  -14.200     0.000  -0.669645   0.061518   0.009848   0.071366  -0.000000   0.000000   0.163780  -0.000000  -0.000000   50.0000     0.2039
